mean,cc_or,no_cc_or,cc_ci_l,cc_ci_r,no_cc_ci_l,no_cc_ci_r
1.525,0.0,2.273630765906881,0.0,,0.20615060197648385,25.075827138588686
2.23577981651376,2.8070831283817066,1.347691956467537,1.5430423243460063,5.10661021108732,0.9468388731198834,1.9182499378617417
2.837814922480564,1.1838388505767172,1.1918701051407152,1.0059366673055263,1.3932034388295567,1.0965770486193198,1.2954441726796433
3.302619525661765,0.9969622544965063,1.0256042869047726,0.933316827678411,1.0649478370202836,0.9920568162531661,1.060286201439715
3.7027542918063268,0.7722185529407922,0.8414194872450718,0.7374931734201214,0.8085790011323533,0.8224363356336297,0.8608408004861619
4.041245041742013,0.6852446860540128,0.7341193972365045,0.6539032669729142,0.7180882914669894,0.7174359820873447,0.751190772214818
4.430313431078183,0.9995646658160162,0.9613410547376534,0.9548006512605625,1.0464273561489483,0.9398475745512358,0.9833260717466716
4.894125971612701,1.419439316669243,1.3081286723543015,1.34179423081604,1.5015774605627126,1.2732857110148605,1.3439250975898656
5.408706269877459,2.053392948076869,1.7194009875440404,1.8915703961719013,2.229059308469236,1.6551555364298014,1.7861401487042698
5.89489812550927,2.732917099412743,2.137910018118886,2.4002095495461693,3.1117432532816824,2.0140423469395463,2.269395801194785
6.494987309644653,3.1086075760588594,2.166657257626754,2.41090717355031,4.008217806121552,1.9304649300580816,2.4317477095455167
6.9987034035656475,3.3371782195369666,1.8126901840233867,2.1634353386017544,5.147719587565623,1.5015696950371804,2.188273853764329
7.499593495934964,2.3431387004816657,1.6310971688927263,1.1432137333960255,4.802513134079881,1.204975027411371,2.2079112959588296
7.986597938144328,0.891889238020424,1.0544450304769526,0.24140523866796443,3.295149754354583,0.6120421431887585,1.8166303328472546
8.403030303030304,2.6760922925871347,1.1862543730160686,0.3769003160413783,19.00096564964949,0.48298755298743495,2.9135314746638095
9.000000000000002,1.337914784999017,0.9094361024089888,0.12129913584788622,14.75703812237966,0.10624235378022354,7.784786339314033
9.180000000000001,1.337914784999017,0.7578589175758889,0.12129913584788622,14.75703812237966,0.09123379527056515,6.295366067431387
