mean,cc_or,no_cc_or,cc_ci_l,cc_ci_r,no_cc_ci_l,no_cc_ci_r
1.7142857142857149,6.7264240329952045,1.1242514020196888,1.12383108375749,40.259413470199746,0.2335331876602529,5.412255224221209
2.1328358208955245,3.1061741850496225,1.3510453068356256,1.7026648176086108,5.66659859773207,0.8411667288421182,2.1699900370942653
2.658805970149269,1.3708923393705081,1.2111160783458648,1.1314171314942183,1.6610547549892285,1.0522036325510067,1.3940287885831473
3.0370785392697246,1.0887050921608061,1.117029608312235,0.9999736240847755,1.1853100413340343,1.0517367089057383,1.1863759582418598
3.4097798712811236,0.9456190530203124,0.978239025812722,0.9043653631678715,0.988754578462387,0.9464732528333095,1.0110709296415366
3.734339475859448,0.8205546708948971,0.8190994242983606,0.7934261100046879,0.8486108024897928,0.7980172482918739,0.8407385533608367
4.079495793653981,0.7791212040805188,0.7331342111358071,0.7542062452456022,0.8048592205043359,0.7143965503164393,0.7523633356007177
4.406284802838519,0.9613109462066255,0.939797900934671,0.9305122474783751,0.9931290402689235,0.9156604499835395,0.9645716320029886
4.850739432608766,1.2249293718002938,1.3119162075457165,1.1783306172311714,1.2733709401736573,1.2694383557083897,1.3558154501017023
5.245019551348097,1.5029560769103716,1.709549776136745,1.4292270402569343,1.5804885476528159,1.6344575051054557,1.7880920292881097
5.6722907937946445,1.7807919848496971,2.314151837896269,1.6631115892370596,1.906799347576971,2.1743366928547454,2.46295743728979
6.051827330508402,1.8104192217832493,2.726484138446735,1.634231799058988,2.005601506768844,2.4873353627888144,2.988626249765899
6.563399826539461,1.7430379746835447,3.1488730675666385,1.445253940920025,2.102178236756689,2.6807885213853084,3.698688470406725
6.95534150612961,1.423176188137721,2.6888924196255366,1.076183087519766,1.88205007676727,2.1354172748202362,3.385821838932309
7.393928571428572,1.54372897919394,1.766423259620429,1.0327046862403637,2.3076288826373093,1.2563627071220158,2.483559177966771
7.808088235294122,1.1658677225072493,1.1045765156353529,0.6332148780182001,2.146581821700615,0.6343146742961193,1.923476356978553
8.226086956521737,0.7078950301849819,1.620380793104556,0.2094567423364057,2.392452819474112,0.6718996954770287,3.9077766106115406
8.608333333333333,0.6405006050570028,3.935050736273868,0.07879578052861563,5.206383163238071,0.5542617585362145,27.937385285147315
9.085714285714287,0.0,3.9349504612230954,0.0,,0.24610672859655353,62.9151231279935
8.899999999999997,0.4075710290601064,2.623344380288589,0.05261483090974876,3.1571733835665636,0.43831255155462195,15.70097801941248
