mean,cc_or,no_cc_or,cc_ci_l,cc_ci_r,no_cc_ci_l,no_cc_ci_r
1.7142857142857149,0.0,2.6604541335563927,0.0,,0.8702938150169077,8.13290416940374
2.9309129576180952,0.962472597624724,1.1894737586855764,0.788991131425926,1.1740987500129514,1.1179100359071226,1.2656186787459347
3.6065350984631297,0.7480626166221114,0.8878608528507627,0.6963029070723096,0.8036698866308295,0.8687107483737557,0.9074331076259751
4.012220649787219,0.5769486663409075,0.6477204601581916,0.5277621601507457,0.6307192685005562,0.631400909791708,0.6644618149915898
4.4463555167352045,1.1778845226317411,1.006973930119517,1.0975396087052092,1.26411105134708,0.9857142456072978,1.0286921391864674
5.1715970081072395,1.8701360544217673,1.546112532659635,1.6954762420340583,2.06278848110097,1.5043100472583808,1.5890766454720116
5.959382603406218,2.646851391139616,2.1809123298768847,2.172737689103869,3.2244215774004563,2.0661822660732168,2.302013074407287
6.801644736842073,3.4386792452830166,2.14677624881253,2.168120747510811,5.453808310960419,1.8976479192747806,2.4286108163978453
7.58763636363637,5.369740634005763,1.5305006370130765,1.798549662744178,16.031870052728102,1.1621684921020818,2.015570217069419
8.339622641509434,2.9789019419803404,0.9576852023981023,0.4194717711494665,21.154836607043826,0.4646736864672897,1.973774228244054
8.708,1.4890939597315436,1.251916910637111,0.1349854513400254,16.426961564349508,0.4618461167431506,3.393545803072755
